Class,Age,Gender,Exams Preparing For,Department,Student Self-Rating,Class Attendance,Favorite Subject,Challenging Subject,Extra Help from Teachers,Library Access,Library Usage Frequency,Library Resources,Study Methods,Exam Stress,Causes of Stress,Sleep Hours During Exam Prep,Quiet Study Place at Home,Internet Access,Extracurricular Activities,Types of Extracurricular Activities,Study Hours,Preferred Study Method,Mock Exam Frequency,Mock Exam Rating,Study Tools,Online Study Usage,Favorite Online Study Platforms,Biggest Exam Challenge,Help from Teachers,Parents Involvement,Type of Parental Support,Teaching Methods Satisfaction,Suggested Improvements,Future Plan,Plans After Secondary School,Desired University Department,Future Plan Uncertainty,Motivation to Study,Need for Career Guidance,Career Goals Clarity,Comments
SS 1,16 - 19,Female,School Exams,Science,Average,Often,"English Language, Mathematics, Civic Education, Economics","Biology, Chemistry, Physics, Further Mathematics",Never,Yes,Often,Yes,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",Yes,Lack of study materials,4-6 hours,Sometimes,Yes,No,Not Applicable,2-4 hours,Lectures,Once a month,5,Mobile Apps,Yes,Coursera,Lack of time,Never,2,Emotional support,Neutral,More interactive classes,Unsure,Starting a Job,Not Applicable,Yes,2,No,Yes,Nil
SS 2,13 - 16,Female,NECO,Art,Average,Rarely,"English, Literature In English",Government,Sometimes,No,Rarely,Not Sure,Textbooks,No,Not Applicable,Less than 4 hours,Sometimes,Yes,No,Not Applicable,2-4 hours,Lectures,Once a week,2,Video Lessons,No,Not Applicable,Difficulty understanding subjects,Sometimes,5,Study monitoring,Unsatisfied,Extra classes for difficult subjects,No,Unsure,Not Applicable,No,3,Yes,No,Nil
SS 3,13 - 16,Female,"WAEC, JAMB, School Exams",Commercial,Straight A Student,Often,"English Language, Mathematics",Commerce,Often,Yes,Rarely,No,"Textbooks, Past Questions",No,Not Applicable,4-6 hours,Yes,No,No,Not Applicable,2-4 hours,Reading,Several times a week,5,Study Groups,No,Not Applicable,Lack of resources,Rarely,1,No support,Unsatisfied,Better teaching methods,Yes,Entrepreneurship,Not Applicable,Not Applicable,4,No,No,Students should ask for help when needed
SS 3,13 - 16,Female,WAEC,Science,Straight A Student,Often,"English Language, Mathematics",Further Mathematics,Often,Yes,Often,Yes,"Textbooks, Online Resources, Past Questions",No,Not Applicable,Less than 4 hours,Sometimes,No,Yes,Drama,2-4 hours,Lectures,Never,1,Video Lessons,No,Not Applicable,Stress,Often,1,Financial support,Neutral,Better access to resources,Yes,Entrepreneurship,Not Applicable,Not Applicable,5,No,Yes,Nil
SS 2,19 +,Female,"WAEC, NECO, JAMB, School Exams",Science,Straight A Student,Often,"Biology, Economics, Geography",Geography,Often,No,Rarely,Not Sure,"Textbooks, Past Questions",No,Not Applicable,Less than 4 hours,Yes,No,No,Not Applicable,More than 4 hours,Lectures,Several times a week,5,Study Groups,No,Not Applicable,Procrastination,Often,1,No support,Unsatisfied,Extra classes for difficult subjects,Yes,Unsure,Not Applicable,Not Applicable,5,No,No,Nil
SS 2,16 - 19,Female,WAEC,Commercial,Below Average,Often,"English Language, Mathematics, Commerce",Government,Often,Yes,Often,Yes,"Textbooks, Past Questions",No,Not Applicable,4-6 hours,Yes,No,No,Not Applicable,2-4 hours,Reading,Never,2,One-on-One Tutoring,Yes,YouTube,Lack of time,Sometimes,1,Emotional support,Very unsatisfied,Better teaching methods,Unsure,Vocational Training,Not Applicable,Yes,5,No,No,Nil
SS 2,16 - 19,Female,"WAEC, NECO, JAMB, School Exams",Commercial,Average,Rarely,"English Language, Mathematics, Commerce",Mathematics,Often,No,Rarely,Not Sure,Textbooks,No,Not Applicable,4-6 hours,No,No,No,Not Applicable,2-4 hours,Reading,Once a week,3,One-on-One Tutoring,No,Not Applicable,Stress,Rarely,3,Emotional support,Unsatisfied,Counseling services,No,Unsure,Not Applicable,Yes,3,Yes,No,Nil
SS 3,19 +,Male,WAEC,Commercial,Average,Rarely,"English Language, Mathematics, Commerce",Mathematics,Often,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions",Yes,Difficulty in understanding subjects,More than 8 hours,Yes,Yes,Yes,Science club,2-4 hours,Lectures,Once a month,5,Video Lessons,Yes,Khan Academy,Stress,Never,1,No support,Unsatisfied,Better teaching methods,No,Unsure,Not Applicable,No,3,Yes,Yes,Get enough sleep
SS 2,16 - 19,Male,WAEC,Commercial,Below Average,Often,"English Language, Civic Education, Economics","Commerce, Mathematics",Never,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,Less than 4 hours,Sometimes,Yes,No,Not Applicable,Less than 1 hour,Visuals,Never,5,Video Lessons,Yes,Udemy,Procrastination,Sometimes,1,Study monitoring,Unsatisfied,More study materials,No,Unsure,Not Applicable,Yes,3,Yes,Yes,Nil
SS 3,16 - 19,Male,WAEC,Art,Below Average,Sometimes,"English Language, Civic Education, Government",Mathematics,Often,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions",No,Not Applicable,6-8 hours,Yes,No,Yes,Volunteering,Less than 1 hour,Visuals,Once a month,1,Study Groups,No,Not Applicable,Difficulty understanding subjects,Rarely,2,Emotional support,Satisfied,Better teaching methods,Yes,Other,Not Applicable,Yes,5,Yes,Yes,Nil
SS 3,19 +,Male,WAEC,Art,Straight A Student,Often,"English Language, Mathematics, Literature In English",None,Never,Yes,Sometimes,No,"Textbooks, Past Questions",No,Not Applicable,4-6 hours,No,No,Yes,Sports,2-4 hours,Lectures,Never,5,Past Questions,Yes,YouTube,Procrastination,Never,2,Study monitoring,Neutral,More interactive classes,Yes,University,Art,Not Applicable,5,Yes,No,Nil
SS 3,19 +,Female,"WAEC, NECO, JAMB, School Exams",Science,Average,Often,"Biology, Chemistry, Geography, Further Mathematics","Mathematics, Physics",Never,Yes,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,4-6 hours,No,Yes,Yes,Science club,More than 4 hours,Visuals,Several times a week,4,Study Guides,Yes,Khan Academy,Procrastination,Rarely,4,Financial support,Neutral,More interactive classes,No,Unsure,Not Applicable,Yes,1,No,Yes,Nil
SS 3,13 - 16,Female,"WAEC, NECO, JAMB, School Exams",Science,Below Average,Rarely,"Biology, Chemistry","Geography, Mathematics",Often,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,Less than 4 hours,Sometimes,Yes,No,Not Applicable,Less than 1 hour,Lectures,Never,2,Study Guides,Yes,Udemy,Procrastination,Sometimes,4,Study monitoring,Neutral,Counseling services,No,Vocational Training,Not Applicable,Yes,2,No,Yes,Nil
SS 2,13 - 16,Female,"WAEC, NECO, JAMB, School Exams",Art,Straight A Student,Often,"English Language, Mathematics",Civic Education,Often,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,Less than 4 hours,No,Yes,No,Not Applicable,2-4 hours,Lectures,Once a month,4,One-on-One Tutoring,No,Not Applicable,Procrastination,Rarely,2,Financial support,Unsatisfied,Extra classes for difficult subjects,Yes,University,Art,Not Applicable,5,No,No,Nil
SS 3,19 +,Female,"WAEC, NECO, JAMB, School Exams",Art,Average,Sometimes,"Government, Literature In English",None,Sometimes,Yes,Never,Not Sure,"Textbooks, Online Resources, Past Questions",No,Not Applicable,Less than 4 hours,No,No,No,Not Applicable,2-4 hours,Visuals,Never,3,Past Questions,No,Not Applicable,Lack of time,Often,3,Financial support,Very unsatisfied,Better teaching methods,No,Starting a Job,Not Applicable,Yes,2,No,No,Nil
SS 2,13 - 16,Male,NECO,Art,Straight A Student,Sometimes,"English, Literature In English",Mathematics,Never,Yes,Never,Not Sure,"Textbooks, Online Resources, Past Questions",No,Not Applicable,Less than 4 hours,Yes,No,Yes,Debate,Less than 1 hour,Visuals,Once a week,3,Mobile Apps,No,Not Applicable,Stress,Never,3,Study monitoring,Neutral,Counseling services,Yes,University,Art,Not Applicable,5,Yes,Yes,Nil
SS 2,16 - 19,Male,NECO,Science,Straight A Student,Sometimes,"English Language, Mathematics, Civic Education",None,Sometimes,Yes,Sometimes,No,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,4-6 hours,Sometimes,No,No,Not Applicable,More than 4 hours,Lectures,Never,3,One-on-One Tutoring,No,Not Applicable,Procrastination,Rarely,3,Emotional support,Neutral,Better teaching methods,Yes,University,Science,Not Applicable,4,Yes,No,Provision of more use of a variety of study resources
SS 3,16 - 19,Female,"WAEC, JAMB, School Exams",Art,Straight A Student,Sometimes,"English Language, Civic Education, Economics",None,Often,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,Less than 4 hours,Sometimes,Yes,No,Not Applicable,More than 4 hours,Visuals,Several times a week,2,One-on-One Tutoring,Yes,Khan Academy,Stress,Never,1,No support,Neutral,Better teaching methods,Yes,University,Art,Not Applicable,4,Yes,Yes,Nil
SS 2,13 - 16,Female,WAEC,Commercial,Below Average,Often,"English Language, Civic Education, Economics, Biology","Mathematics, Commerce",Sometimes,No,Rarely,Not Sure,Textbooks,No,Not Applicable,6-8 hours,Yes,Yes,No,Not Applicable,2-4 hours,Reading,Never,1,Video Lessons,No,Not Applicable,Difficulty understanding subjects,Rarely,3,Other,Very unsatisfied,More interactive classes,No,Entrepreneurship,Not Applicable,Yes,2,Yes,No,Nil
SS 3,19 +,Female,"WAEC, NECO, JAMB, School Exams",Art,Below Average,Often,"English Language, Government","Government, Literature In English",Never,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,More than 8 hours,No,Yes,Yes,Drama,Less than 1 hour,Lectures,Once a month,2,Study Groups,Yes,Khan Academy,Lack of resources,Never,5,Other,Satisfied,Better teaching methods,Yes,University,Commercial,Not Applicable,4,Yes,Yes,Nil
SS 2,13 - 16,Male,"WAEC, JAMB, School Exams",Science,Below Average,Sometimes,"English Language, Mathematics, Biology, Physics, Geography","Further Mathematics, Chemistry",Never,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,6-8 hours,No,No,No,Not Applicable,Less than 1 hour,Lectures,Once a week,3,Past Questions,No,Not Applicable,Procrastination,Rarely,1,No support,Satisfied,Counseling services,Unsure,Starting a Job,Other,Yes,2,No,No,Nil
SS 1,16 - 19,Female,School Exams,Commercial,Straight A Student,Sometimes,Mathematics,None,Never,Yes,Often,No,"Textbooks, Past Questions",No,Not Applicable,Less than 4 hours,Yes,No,No,Not Applicable,Less than 1 hour,Visuals,Never,2,One-on-One Tutoring,No,Not Applicable,Stress,Rarely,2,Other,Satisfied,Better teaching methods,Yes,University,Commercial,Not Applicable,5,No,Yes,Nil
SS 1,16 - 19,Female,School Exams,Art,Average,Sometimes,"English Language, Government, Civic Education",Mathematics,Often,Yes,Never,Yes,Textbooks,Yes,Lack of study materials,6-8 hours,Yes,No,No,Not Applicable,2-4 hours,Visuals,Several times a week,4,Mobile Apps,Yes,Google Classroom,Lack of resources,Rarely,4,Other,Neutral,More interactive classes,Yes,Starting a Job,Art,Not Applicable,3,No,Yes,Nil
SS 3,19 +,Female,NECO,Science,Below Average,Sometimes,"Biology, Economics, Geography",Mathematics,Never,No,Rarely,Not Sure,"Textbooks, Past Questions",No,Not Applicable,6-8 hours,Yes,No,No,Not Applicable,Less than 1 hour,Visuals,Once a week,5,Study Guides,No,Not Applicable,Procrastination,Often,1,No support,Very satisfied,Extra classes for difficult subjects,Unsure,Entrepreneurship,Science,Yes,1,Yes,Yes,Nil
SS 3,13 - 16,Female,"WAEC, NECO, JAMB, School Exams",Science,Below Average,Often,"English Language, Mathematics",Mathematics,Never,No,Rarely,Not Sure,Textbooks,Yes,Difficulty in understanding subjects,6-8 hours,No,No,Yes,Drama,Less than 1 hour,Lectures,Never,3,Past Questions,Yes,Coursera,Stress,Rarely,5,Other,Satisfied,Better access to resources,Yes,Other,Art,Not Applicable,3,No,No,Nil
SS 2,13 - 16,Male,WAEC,Art,Below Average,Often,"English Language, Mathematics, Civic Education, Government","Mathematics, Literature In English",Often,No,Rarely,Not Sure,Textbooks,Yes,Family expectations,6-8 hours,Yes,Yes,No,Not Applicable,Less than 1 hour,Reading,Several times a week,5,Mobile Apps,Yes,YouTube,Stress,Sometimes,4,Study monitoring,Very unsatisfied,Counseling services,Yes,Vocational Training,Art,Not Applicable,3,Yes,No,Nil
SS 3,13 - 16,Male,"WAEC, NECO, JAMB, School Exams",Art,Straight A Student,Sometimes,"English Language, Mathematics, Civic Education, Economics, Government",Mathematics,Often,Yes,Often,No,Textbooks,No,Not Applicable,Less than 4 hours,Yes,No,Yes,Debate,2-4 hours,Lectures,Once a week,1,Study Groups,Yes,Khan Academy,Difficulty understanding subjects,Often,4,Emotional support,Neutral,Better access to resources,Yes,University,Commercial,Not Applicable,4,No,No,Nil
SS 3,13 - 16,Female,"WAEC, NECO, JAMB, School Exams",Art,Straight A Student,Often,"English Language, Civic Education, Economics",Mathematics,Sometimes,No,Rarely,Not Sure,Textbooks,No,Not Applicable,Less than 4 hours,Yes,No,Yes,Volunteering,2-4 hours,Lectures,Several times a week,4,One-on-One Tutoring,Yes,Coursera,Lack of resources,Never,5,Emotional support,Satisfied,More study materials,Unsure,University,Art,Yes,4,No,No,Nil
SS 3,13 - 16,Male,"WAEC, NECO, JAMB, School Exams",Commercial,Straight A Student,Often,"English Language, Mathematics, Civic Education, Economics, Government",None,Often,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,6-8 hours,Sometimes,No,Yes,Sports,2-4 hours,Lectures,Once a week,5,Study Guides,No,Not Applicable,Difficulty understanding subjects,Sometimes,2,Financial support,Satisfied,Better access to resources,Unsure,University,Art,Yes,4,No,No,Incorporate exercise into your routine to boost focus
SS 3,16 - 19,Male,"WAEC, NECO, JAMB, School Exams",Commercial,Straight A Student,Often,"English Language, Mathematics, Civic Education, Economics, Government, Literature In English",None,Often,No,Rarely,Not Sure,Textbooks,No,Not Applicable,Less than 4 hours,Yes,Yes,Yes,Music,More than 4 hours,Lectures,Once a week,4,Study Guides,Yes,YouTube,Lack of resources,Never,5,Emotional support,Satisfied,Extra classes for difficult subjects,Unsure,University,Art,Yes,4,Yes,Yes,Nil
SS 2,16 - 19,Female,"WAEC, JAMB, School Exams",Commercial,Straight A Student,Often,"Government, Economics, Literature In English",None,Often,Yes,Often,Yes,"Textbooks, Online Resources, Past Questions",No,Not Applicable,Less than 4 hours,Yes,Yes,No,Not Applicable,Less than 1 hour,Lectures,Once a month,5,Video Lessons,Yes,Coursera,Stress,Sometimes,3,Financial support,Satisfied,More interactive classes,Yes,University,Art,Not Applicable,4,No,No,Nil
SS 3,16 - 19,Male,WAEC,Science,Below Average,Often,"English Language, Mathematics"," Biology, Physics, Geography, Chemistry",Often,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions",No,Not Applicable,More than 8 hours,Sometimes,Yes,Yes,Music,Less than 1 hour,Lectures,Never,2,Past Questions,No,Not Applicable,Procrastination,Sometimes,4,Emotional support,Satisfied,Better access to resources,Yes,University,Engineering,Not Applicable,3,Yes,Yes,Nil
SS 3,19 +,Female,"WAEC, NECO, JAMB, School Exams",Commercial,Straight A Student,Often,"English Language, Mathematics, Biology",None,Sometimes,Yes,Never,Yes,Textbooks,No,Not Applicable,Less than 4 hours,Sometimes,Yes,No,Not Applicable,More than 4 hours,Visuals,Once a week,5,Past Questions,Yes,Udemy,Lack of resources,Rarely,4,Study monitoring,Neutral,Extra classes for difficult subjects,No,Unsure,Not Applicable,Yes,5,Yes,Yes,Nil
SS 3,16 - 19,Female,"WAEC, NECO, JAMB, School Exams",Art,Straight A Student,Often,"English Language, Civic Education, Economics, Government",Mathematics,Never,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,Less than 4 hours,Sometimes,No,No,Not Applicable,Less than 1 hour,Lectures,Once a month,2,Video Lessons,Yes,Khan Academy,Lack of resources,Sometimes,5,Other,Very unsatisfied,Better access to resources,Yes,University,Art,Not Applicable,5,No,Yes,Nil
SS 2,19 +,Female,"WAEC, NECO, JAMB, School Exams",Commercial,Straight A Student,Often,"English Language, Mathematics",None,Often,Yes,Often,Yes,"Textbooks, Online Resources, Past Questions",Yes,Difficulty in understanding subjects,4-6 hours,Yes,Yes,No,Not Applicable,More than 4 hours,Visuals,Once a month,5,Study Guides,No,Not Applicable,Difficulty understanding subjects,Rarely,4,Financial support,Very unsatisfied,Counseling services,No,Unsure,Not Applicable,Yes,5,No,Yes,Nil
SS 3,13 - 16,Female,NECO,Science,Average,Often,"English Language, Mathematics",Geography,Never,Yes,Never,No,"Textbooks, Online Resources, Past Questions",Yes,Other,4-6 hours,No,Yes,Yes,Music,Less than 1 hour,Visuals,Once a week,3,Past Questions,Yes,Khan Academy,Lack of time,Never,1,Study monitoring,Satisfied,Counseling services,Unsure,Starting a Job,Science,Yes,3,Yes,Yes,Nil
SS 3,19 +,Female,"WAEC, NECO, JAMB, School Exams",Science,Below Average,Sometimes,"English Language, Mathematics, Civic Education, Economics","Chemistry, Physics, Geography, Further Mathematics",Often,Yes,Sometimes,No,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",Yes,Pressure from teachers,6-8 hours,No,Yes,Yes,Science club,2-4 hours,Lectures,Once a week,5,Study Guides,No,Not Applicable,Lack of time,Rarely,4,No support,Satisfied,Better teaching methods,No,Unsure,Not Applicable,Yes,2,No,No,Nil
SS 2,19 +,Female,"WAEC, NECO, JAMB, School Exams",Commercial,Average,Sometimes,"English Language, Mathematics, Civic Education, Economics",Further Mathematics,Sometimes,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions",Yes,Difficulty in understanding subjects,More than 8 hours,Yes,Yes,No,Not Applicable,2-4 hours,Reading,Once a month,2,Past Questions,No,Not Applicable,Procrastination,Often,5,Study monitoring,Very satisfied,Better access to resources,No,Unsure,Not Applicable,Yes,3,No,Yes,Nil
SS 3,13 - 16,Male,WAEC,Commercial,Below Average,Sometimes,Mathematics,Commerce,Often,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions",No,Not Applicable,Less than 4 hours,Yes,No,Yes,Debate,Less than 1 hour,Visuals,Once a week,2,One-on-One Tutoring,No,Not Applicable,Difficulty understanding subjects,Never,4,Financial support,Very unsatisfied,Better access to resources,Unsure,Starting a Job,Science,Yes,2,Yes,No,Nil
SS 1,19 +,Female,"WAEC, NECO, JAMB, School Exams",Commercial,Straight A Student,Often,"Biology, Economics, Commerce, Government",Literature In English,Never,Yes,Rarely,Yes,"Textbooks, Past Questions",No,Not Applicable,Less than 4 hours,Yes,Yes,No,Not Applicable,2-4 hours,Reading,Once a week,4,Mobile Apps,Yes,Coursera,Procrastination,Often,3,Other,Very unsatisfied,Extra classes for difficult subjects,Unsure,Yes,Commercial,Yes,2,Yes,Yes,Nil
SS 3,16 - 19,Female,"WAEC, JAMB, School Exams",Commercial,Straight A Student,Often,"English, Economics, Commerce",None,Never,Yes,Never,Not Sure,"Textbooks, Past Questions",No,Not Applicable,Less than 4 hours,Sometimes,Yes,Yes,Volunteering,More than 4 hours,Lectures,Several times a week,3,Mobile Apps,Yes,Khan Academy,Lack of resources,Often,1,No support,Satisfied,Counseling services,No,University,Commercial,Yes,3,No,Yes,Nil
SS 3,19 +,Male,"WAEC, JAMB, School Exams",Commercial,Below Average,Sometimes,Mathematics,"Commerce, Further Mathematics",Never,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions",Yes,Other,6-8 hours,Sometimes,No,Yes,Sports,Less than 1 hour,Visuals,Once a week,5,Video Lessons,Yes,YouTube,Procrastination,Never,5,Financial support,Very unsatisfied,More interactive classes,Unsure,Starting a Job,Engineering,Yes,2,No,Yes,Nil
SS 2,13 - 16,Female,"WAEC, JAMB, School Exams",Science,Below Average,Often,"English Language, Mathematics, Further Mathematics, Economics","Chemistry, Physics, Geography",Sometimes,No,Rarely,Not Sure,Textbooks,Yes,Fear of failure,6-8 hours,Yes,No,No,Not Applicable,Less than 1 hour,Visuals,Never,5,Video Lessons,Yes,Udemy,Stress,Often,2,No support,Very unsatisfied,Counseling services,Unsure,Vocational Training,Engineering,Yes,2,No,Yes,Nil
SS 2,16 - 19,Male,"WAEC, JAMB, School Exams",Art,Straight A Student,Often,"English Language, Civic Education, Government",None,Often,Yes,Often,No,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",No,Not Applicable,Less than 4 hours,Sometimes,Yes,Yes,Music,2-4 hours,Lectures,Never,4,Study Guides,Yes,Google Classroom,Procrastination,Rarely,1,No support,Unsatisfied,Counseling services,Yes,University,Science,Not Applicable,4,No,Yes,Nil
SS 2,16 - 19,Female,NECO,Science,Straight A Student,Often,"English Language, Mathematics, Biology, Physics, Geography",None,Never,Yes,Often,Yes,Textbooks,Yes,Difficulty in understanding subjects,Less than 4 hours,Yes,No,Yes,Drama,More than 4 hours,Visuals,Several times a week,3,Study Groups,No,Not Applicable,Procrastination,Rarely,5,Other,Satisfied,Better teaching methods,Yes,University,Science,Not Applicable,3,No,No,Nil
SS 3,13 - 16,Female,NECO,Commercial,Straight A Student,Often,"English Language, Mathematics, Civic Education, Economics, Commerce",None,Sometimes,No,Rarely,Not Sure,Textbooks,Yes,Pressure from teachers,6-8 hours,Yes,No,No,Not Applicable,2-4 hours,Reading,Once a week,3,Past Questions,No,Not Applicable,Difficulty understanding subjects,Often,5,Other,Satisfied,Extra classes for difficult subjects,No,Entrepreneurship,Not Applicable,Yes,2,Yes,Yes,Nil
SS 2,16 - 19,Female,NECO,Science,Straight A Student,Sometimes,"Biology, Geography, Mathematics","Economics, Further Mathematics",Never,No,Rarely,Not Sure,"Textbooks, Online Resources, Past Questions, Group Study, Private Tutoring",Yes,Pressure from teachers,Less than 4 hours,No,No,Yes,Other,More than 4 hours,Reading,Several times a week,5,Study Groups,Yes,Coursera,Difficulty understanding subjects,Sometimes,4,Study monitoring,Very satisfied,Extra classes for difficult subjects,No,University,Science,Yes,2,No,No,Nil
