STUDENT ID,SCHOOL NAME,Biology,Chemistry,Civic Education,Commerce,Economics,English,Further Mathematics,Government,Geography,Literature in English,Mathematics,Physics,Department
90691,"Barewa College, Zaria",F9,D7,ABS,ABS,ABS,A1,A1,ABS,B3,ABS,A1,A1,Science
90692,"Barewa College, Zaria",ABS,ABS,ABS,F9,E8,F9,ABS,C5,ABS,ABS,F9,ABS,Arts
90693,"Barewa College, Zaria",ABS,ABS,ABS,A1,B2,A1,ABS,F9,ABS,ABS,A1,ABS,Commercial
90694,"Barewa College, Zaria",ABS,ABS,ABS,F9,F9,F9,ABS,ABS,ABS,ABS,A1,ABS,Arts
90695,"Barewa College, Zaria",D7,F9,ABS,ABS,ABS,C6,F9,ABS,F9,ABS,F9,F9,Commercial
90697,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,A1,F9,ABS,Science
90698,"Barewa College, Zaria",ABS,ABS,ABS,F9,D7,B2,ABS,F9,ABS,ABS,C4,ABS,Arts
90699,"Barewa College, Zaria",ABS,ABS,ABS,F9,C4,F9,ABS,F9,ABS,ABS,F9,ABS,Arts
90700,"Barewa College, Zaria",ABS,ABS,ABS,F9,F9,ABS,ABS,F9,ABS,ABS,D7,ABS,Commercial
90696,"Barewa College, Zaria",F9,C5,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,A1,D7,Commercial
90701,"Barewa College, Zaria",F9,A1,ABS,ABS,ABS,F9,C6,ABS,F9,ABS,C6,E8,Commercial
90702,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,E8,A1,ABS,Commercial
90703,"Barewa College, Zaria",A1,B3,ABS,ABS,ABS,F9,F9,ABS,F9,ABS,B2,F9,Arts
90704,"Barewa College, Zaria",ABS,ABS,ABS,A1,F9,D7,ABS,F9,ABS,ABS,ABS,ABS,Arts
90705,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,A1,A1,ABS,Arts
90706,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,C4,ABS,E8,F9,C4,F9,ABS,Commercial
90707,"Barewa College, Zaria",A1,F9,ABS,ABS,ABS,A1,F9,ABS,D7,ABS,C5,C5,Science
90708,"Barewa College, Zaria",A1,C4,ABS,ABS,ABS,C5,A1,ABS,F9,ABS,D7,A1,Arts
90709,"Barewa College, Zaria",ABS,ABS,ABS,C6,A1,F9,ABS,A1,ABS,ABS,C6,ABS,Science
90710,"Barewa College, Zaria",ABS,ABS,ABS,C6,F9,B2,ABS,F9,ABS,ABS,D7,ABS,Commercial
90711,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,D7,B2,ABS,Commercial
90712,"Barewa College, Zaria",C6,A1,ABS,ABS,ABS,A1,A1,ABS,F9,ABS,F9,F9,Science
90713,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,C4,ABS,C5,F9,F9,A1,ABS,Science
90714,"Barewa College, Zaria",F9,B2,ABS,ABS,ABS,F9,A1,ABS,D7,ABS,E8,F9,Science
90715,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,E8,D7,A1,C6,ABS,Science
90716,"Barewa College, Zaria",ABS,ABS,ABS,ABS,ABS,C5,ABS,A1,A1,F9,A1,ABS,Science
90717,"Barewa College, Zaria",ABS,ABS,ABS,F9,F9,A1,ABS,A1,ABS,ABS,F9,ABS,Science
88879,"El-Kanemi College, Maiduguri",F9,A1,ABS,ABS,ABS,ABS,B2,ABS,B3,ABS,F9,B3,Commercial
88880,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,F9,C6,ABS,Arts
88881,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,C5,ABS,C4,A1,F9,F9,ABS,Science
88882,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,F9,E8,B3,ABS,B2,ABS,ABS,F9,ABS,Arts
88883,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,A1,D7,ABS,Arts
88884,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,B2,F9,A1,ABS,B3,ABS,ABS,C6,ABS,Science
88885,"El-Kanemi College, Maiduguri",B2,E8,ABS,ABS,ABS,E8,F9,ABS,F9,ABS,C4,F9,Commercial
88886,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,A1,C6,C6,ABS,F9,ABS,ABS,C5,ABS,Commercial
88887,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,F9,A1,F9,ABS,Science
88888,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,B2,A1,ABS,A1,ABS,ABS,A1,ABS,Science
88889,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,C5,F9,F9,ABS,F9,ABS,ABS,A1,ABS,Science
88890,"El-Kanemi College, Maiduguri",F9,C4,ABS,ABS,ABS,E8,F9,ABS,D7,ABS,F9,A1,Commercial
88891,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,B3,ABS,F9,F9,F9,B3,ABS,Science
88892,"El-Kanemi College, Maiduguri",F9,F9,ABS,ABS,ABS,B2,F9,ABS,F9,ABS,B2,A1,Science
88893,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,F9,F9,C4,ABS,C5,ABS,ABS,E8,ABS,Arts
88894,"El-Kanemi College, Maiduguri",D7,A1,ABS,ABS,ABS,E8,F9,ABS,A1,ABS,A1,E8,Commercial
88895,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,C6,A1,F9,ABS,B2,ABS,ABS,F9,ABS,Science
88896,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,D7,ABS,F9,C4,B3,A1,ABS,Arts
88897,"El-Kanemi College, Maiduguri",C6,B2,ABS,ABS,ABS,F9,E8,ABS,F9,ABS,D7,D7,Arts
88898,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,F9,F9,F9,ABS,Science
88899,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,B3,A1,A1,ABS,B2,ABS,ABS,A1,ABS,Science
88900,"El-Kanemi College, Maiduguri",C4,C6,ABS,ABS,ABS,A1,F9,ABS,B2,ABS,A1,C4,Arts
88901,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,B2,A1,A1,ABS,A1,ABS,ABS,F9,ABS,Commercial
88902,"El-Kanemi College, Maiduguri",A1,F9,ABS,ABS,ABS,C5,C4,ABS,F9,ABS,C6,D7,Commercial
88903,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,A1,A1,ABS,Science
88904,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,F9,F9,A1,ABS,A1,ABS,ABS,C5,ABS,Commercial
88905,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,B2,ABS,D7,F9,A1,C5,ABS,Commercial
88906,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,A1,A1,C6,ABS,A1,ABS,ABS,F9,ABS,Arts
88907,"El-Kanemi College, Maiduguri",A1,A1,ABS,ABS,ABS,A1,D7,ABS,A1,ABS,E8,F9,Arts
88908,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,A1,A1,A1,ABS,A1,ABS,ABS,F9,ABS,Commercial
88909,"El-Kanemi College, Maiduguri",A1,E8,ABS,ABS,ABS,A1,D7,ABS,A1,ABS,F9,B2,Science
88910,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,F9,A1,F9,ABS,B2,ABS,ABS,F9,ABS,Commercial
88911,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,C5,F9,A1,ABS,A1,ABS,ABS,A1,ABS,Commercial
88912,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,D7,ABS,F9,C6,A1,F9,ABS,Arts
88913,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,F9,F9,F9,ABS,F9,ABS,ABS,F9,ABS,Science
88914,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,E8,ABS,F9,B2,B2,F9,ABS,Commercial
88915,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,A1,F9,F9,ABS,C5,ABS,ABS,B3,ABS,Arts
88916,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,A1,ABS,C4,A1,E8,F9,ABS,Arts
88917,"El-Kanemi College, Maiduguri",A1,F9,ABS,ABS,ABS,C4,F9,ABS,A1,ABS,F9,C5,Commercial
88918,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,F9,ABS,D7,C5,A1,F9,ABS,Science
88919,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,B3,A1,ABS,Arts
88920,"El-Kanemi College, Maiduguri",F9,A1,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,E8,E8,Commercial
88921,"El-Kanemi College, Maiduguri",A1,A1,ABS,ABS,ABS,C4,B3,ABS,F9,ABS,F9,F9,Science
88922,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,B2,ABS,A1,F9,F9,A1,ABS,Arts
88923,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,F9,A1,F9,ABS,B3,ABS,ABS,F9,ABS,Science
88924,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,F9,F9,ABS,Arts
88925,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,F9,C4,A1,ABS,A1,ABS,ABS,F9,ABS,Arts
88926,"El-Kanemi College, Maiduguri",D7,E8,ABS,ABS,ABS,C4,F9,ABS,C6,ABS,F9,F9,Science
88927,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,F9,B3,F9,ABS,A1,ABS,ABS,B3,ABS,Arts
88928,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,B3,A1,E8,ABS,A1,ABS,ABS,A1,ABS,Commercial
88929,"El-Kanemi College, Maiduguri",C4,C5,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,E8,F9,Commercial
88931,"El-Kanemi College, Maiduguri",E8,F9,ABS,ABS,ABS,F9,C6,ABS,F9,ABS,A1,C4,Science
88930,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,F9,D7,F9,ABS,A1,ABS,ABS,C4,ABS,Commercial
88932,"El-Kanemi College, Maiduguri",A1,F9,ABS,ABS,ABS,A1,C4,ABS,A1,ABS,C4,B2,Arts
88933,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,C4,ABS,C6,C4,A1,A1,ABS,Science
88934,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,A1,D7,ABS,ABS,Arts
88935,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,F9,ABS,E8,E8,E8,F9,ABS,Science
88936,"El-Kanemi College, Maiduguri",B3,B3,ABS,ABS,ABS,B2,B3,ABS,B2,ABS,F9,F9,Science
88937,"El-Kanemi College, Maiduguri",D7,B3,ABS,ABS,ABS,F9,E8,ABS,A1,ABS,A1,B2,Science
88938,"El-Kanemi College, Maiduguri",A1,F9,ABS,ABS,ABS,F9,F9,ABS,C5,ABS,B2,D7,Arts
88939,"El-Kanemi College, Maiduguri",D7,F9,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,C6,C4,Arts
88940,"El-Kanemi College, Maiduguri",B3,F9,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,C4,C6,Science
88941,"El-Kanemi College, Maiduguri",F9,F9,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,F9,F9,Science
88942,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,F9,A1,F9,ABS,Science
88943,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,D7,F9,B2,ABS,A1,ABS,ABS,A1,ABS,Commercial
88944,"El-Kanemi College, Maiduguri",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,C6,F9,A1,ABS,Commercial
88945,"El-Kanemi College, Maiduguri",A1,F9,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,C4,C6,Science
219567,"Gusau College, Zamfara",ABS,ABS,ABS,F9,ABS,F9,ABS,A1,ABS,ABS,F9,ABS,Arts
219568,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,E8,ABS,A1,E8,C6,A1,ABS,Arts
219570,"Gusau College, Zamfara",ABS,ABS,ABS,C5,A1,D7,ABS,F9,ABS,ABS,A1,ABS,Science
219569,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,C6,ABS,F9,F9,F9,F9,ABS,Commercial
219571,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,B3,F9,D7,A1,ABS,Arts
219572,"Gusau College, Zamfara",F9,A1,ABS,ABS,ABS,A1,F9,ABS,C5,ABS,F9,B2,Commercial
219573,"Gusau College, Zamfara",D7,A1,ABS,ABS,ABS,F9,E8,ABS,A1,ABS,B3,F9,Commercial
219574,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,C4,F9,ABS,Arts
219575,"Gusau College, Zamfara",ABS,ABS,ABS,F9,D7,C5,ABS,ABS,ABS,ABS,F9,ABS,Commercial
219576,"Gusau College, Zamfara",ABS,ABS,ABS,F9,B2,A1,ABS,E8,ABS,ABS,B2,ABS,Arts
219577,"Gusau College, Zamfara",A1,F9,ABS,ABS,ABS,C5,B3,ABS,A1,ABS,A1,C6,Commercial
219578,"Gusau College, Zamfara",A1,C6,ABS,ABS,ABS,C4,A1,ABS,A1,ABS,F9,F9,Commercial
219579,"Gusau College, Zamfara",ABS,ABS,ABS,B3,F9,B3,ABS,A1,ABS,ABS,F9,ABS,Science
219580,"Gusau College, Zamfara",ABS,ABS,ABS,B3,E8,C6,ABS,A1,ABS,ABS,F9,ABS,Arts
219581,"Gusau College, Zamfara",A1,F9,ABS,ABS,ABS,ABS,C5,ABS,F9,ABS,B3,F9,Science
219582,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,B2,ABS,F9,F9,C6,E8,ABS,Arts
219583,"Gusau College, Zamfara",ABS,ABS,ABS,F9,C6,F9,ABS,F9,ABS,ABS,A1,ABS,Arts
219584,"Gusau College, Zamfara",D7,C4,ABS,ABS,ABS,D7,D7,ABS,A1,ABS,C4,A1,Science
219585,"Gusau College, Zamfara",C4,C5,ABS,ABS,ABS,A1,F9,ABS,A1,ABS,A1,F9,Science
219586,"Gusau College, Zamfara",C6,A1,ABS,ABS,ABS,F9,B2,ABS,C6,ABS,F9,F9,Arts
219587,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,C4,F9,ABS,Commercial
219588,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,D7,A1,F9,ABS,Arts
219589,"Gusau College, Zamfara",ABS,ABS,ABS,C4,F9,F9,ABS,F9,ABS,ABS,A1,ABS,Commercial
219590,"Gusau College, Zamfara",ABS,ABS,ABS,B3,A1,F9,ABS,F9,ABS,ABS,F9,ABS,Science
219591,"Gusau College, Zamfara",ABS,ABS,ABS,F9,E8,F9,ABS,C5,ABS,ABS,B2,ABS,Commercial
219592,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,D7,B2,A1,F9,ABS,Science
219593,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,C5,F9,A1,ABS,Arts
219594,"Gusau College, Zamfara",A1,F9,ABS,ABS,ABS,F9,ABS,ABS,F9,ABS,A1,B2,Arts
219595,"Gusau College, Zamfara",F9,D7,ABS,ABS,ABS,B3,C4,ABS,A1,ABS,C6,C5,Science
219596,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,E8,F9,ABS,Arts
219597,"Gusau College, Zamfara",B2,A1,ABS,ABS,ABS,A1,B3,ABS,F9,ABS,F9,F9,Science
219598,"Gusau College, Zamfara",ABS,ABS,ABS,F9,F9,F9,ABS,B2,ABS,ABS,C4,ABS,Commercial
219599,"Gusau College, Zamfara",C5,F9,ABS,ABS,ABS,A1,F9,ABS,A1,ABS,A1,B3,Science
219600,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,D7,ABS,F9,F9,F9,F9,ABS,Arts
219601,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,A1,C5,F9,ABS,Arts
219602,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,C6,ABS,F9,F9,A1,F9,ABS,Arts
219603,"Gusau College, Zamfara",ABS,ABS,ABS,C5,C5,ABS,ABS,E8,ABS,ABS,C6,ABS,Commercial
219604,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,F9,D7,ABS,Commercial
219605,"Gusau College, Zamfara",F9,C6,ABS,ABS,ABS,B2,F9,ABS,F9,ABS,F9,ABS,Science
219606,"Gusau College, Zamfara",A1,C4,ABS,ABS,ABS,F9,A1,ABS,C6,ABS,F9,C4,Commercial
219607,"Gusau College, Zamfara",ABS,ABS,ABS,A1,F9,D7,ABS,F9,ABS,ABS,F9,ABS,Science
219608,"Gusau College, Zamfara",B2,F9,ABS,ABS,ABS,F9,F9,ABS,A1,ABS,F9,F9,Science
219609,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,C4,F9,F9,C4,ABS,Science
219610,"Gusau College, Zamfara",C4,F9,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,B2,A1,Commercial
219611,"Gusau College, Zamfara",F9,D7,ABS,ABS,ABS,F9,F9,ABS,F9,ABS,F9,F9,Science
219612,"Gusau College, Zamfara",C5,C6,ABS,ABS,ABS,ABS,E8,ABS,C5,ABS,B3,D7,Commercial
219613,"Gusau College, Zamfara",F9,F9,ABS,ABS,ABS,C5,C5,ABS,C4,ABS,F9,A1,Commercial
219614,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,C6,ABS,F9,A1,ABS,Arts
219615,"Gusau College, Zamfara",ABS,ABS,ABS,C5,F9,F9,ABS,F9,ABS,ABS,B3,ABS,Commercial
219616,"Gusau College, Zamfara",C5,C5,ABS,ABS,ABS,F9,F9,ABS,A1,ABS,F9,C6,Science
219617,"Gusau College, Zamfara",C6,F9,ABS,ABS,ABS,E8,A1,ABS,F9,ABS,F9,F9,Commercial
219618,"Gusau College, Zamfara",ABS,ABS,ABS,F9,C5,D7,ABS,F9,ABS,ABS,F9,ABS,Commercial
219619,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,C6,ABS,A1,F9,C6,F9,ABS,Arts
219620,"Gusau College, Zamfara",F9,F9,ABS,ABS,ABS,A1,F9,ABS,F9,ABS,B3,A1,Science
219621,"Gusau College, Zamfara",ABS,ABS,ABS,A1,C4,A1,ABS,A1,ABS,ABS,A1,ABS,Commercial
219622,"Gusau College, Zamfara",F9,C4,ABS,ABS,ABS,A1,C5,ABS,E8,ABS,F9,F9,Arts
219623,"Gusau College, Zamfara",A1,C6,ABS,ABS,ABS,D7,F9,ABS,F9,ABS,F9,F9,Arts
219624,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,E8,B3,F9,ABS,Science
219625,"Gusau College, Zamfara",A1,F9,ABS,ABS,ABS,F9,D7,ABS,C6,ABS,A1,F9,Arts
219626,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,F9,F9,D7,ABS,Commercial
219627,"Gusau College, Zamfara",ABS,ABS,ABS,ABS,ABS,B2,ABS,E8,A1,E8,F9,ABS,Arts
219628,"Gusau College, Zamfara",ABS,ABS,ABS,A1,F9,F9,ABS,B2,ABS,ABS,A1,ABS,Arts
45221,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,A1,B2,F9,ABS,F9,ABS,ABS,D7,ABS,Commercial
45222,"Ahmadu Bello College, Zaria",B2,F9,ABS,ABS,ABS,C4,F9,ABS,A1,ABS,B3,B3,Commercial
45223,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,A1,E8,C5,ABS,Arts
45224,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,A1,B3,F9,ABS,B3,ABS,ABS,F9,ABS,Science
45225,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,B3,C6,E8,ABS,F9,ABS,ABS,C5,ABS,Science
45226,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,A1,C5,A1,ABS,F9,ABS,ABS,F9,ABS,Commercial
45227,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,C6,ABS,F9,C4,F9,A1,ABS,Science
45228,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,E8,ABS,B3,F9,F9,C5,ABS,Commercial
45229,"Ahmadu Bello College, Zaria",C5,F9,ABS,ABS,ABS,F9,F9,ABS,C4,ABS,B3,F9,Science
45230,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,C5,F9,C5,ABS,Science
45231,"Ahmadu Bello College, Zaria",C5,F9,ABS,ABS,ABS,F9,F9,ABS,C6,ABS,A1,A1,Commercial
45232,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,ABS,F9,F9,ABS,Commercial
45233,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,F9,C6,ABS,Commercial
45234,"Ahmadu Bello College, Zaria",A1,A1,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,C4,F9,Commercial
45235,"Ahmadu Bello College, Zaria",F9,F9,ABS,ABS,ABS,B2,F9,ABS,F9,ABS,C5,F9,Science
45236,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,A1,C5,ABS,Science
45237,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,F9,B3,C4,ABS,Arts
45238,"Ahmadu Bello College, Zaria",E8,C5,ABS,ABS,ABS,A1,F9,ABS,B3,ABS,F9,A1,Arts
45239,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,A1,A1,F9,ABS,Science
45240,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,F9,F9,ABS,Arts
45241,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,C5,ABS,F9,A1,D7,F9,ABS,Arts
45242,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,F9,F9,F9,ABS,Science
45243,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,B2,E8,B2,ABS,A1,ABS,ABS,C5,ABS,Commercial
45244,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,F9,A1,ABS,C4,ABS,ABS,B2,ABS,Science
45245,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,C5,F9,F9,ABS,Science
45248,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,D7,ABS,F9,B3,A1,C5,ABS,Arts
45246,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,E8,ABS,A1,A1,F9,A1,ABS,Science
45247,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,F9,F9,F9,ABS,Arts
45249,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,E8,F9,C5,ABS,F9,ABS,ABS,A1,ABS,Arts
45250,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,A1,F9,ABS,Arts
45251,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,C6,A1,A1,ABS,A1,ABS,ABS,B2,ABS,Commercial
45252,"Ahmadu Bello College, Zaria",F9,D7,ABS,ABS,ABS,F9,A1,ABS,A1,ABS,D7,F9,Arts
45253,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,B3,C6,B2,ABS,F9,ABS,ABS,F9,ABS,Arts
45254,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,C6,ABS,F9,D7,A1,B2,ABS,Commercial
45255,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,B2,A1,D7,ABS,Arts
45256,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,A1,F9,D7,ABS,A1,ABS,ABS,C6,ABS,Arts
45257,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,A1,F9,C5,ABS,D7,ABS,ABS,F9,ABS,Commercial
45258,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,D7,F9,E8,ABS,F9,ABS,ABS,F9,ABS,Commercial
45259,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,F9,ABS,A1,C6,A1,F9,ABS,Commercial
45260,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,ABS,ABS,A1,ABS,B3,C5,A1,C5,ABS,Arts
45261,"Ahmadu Bello College, Zaria",ABS,ABS,ABS,A1,E8,C4,ABS,A1,ABS,ABS,F9,ABS,Commercial
